ccaa_iso,fecha,num_casos
ES-ML,2020-02-09,0
ES-NC,2020-02-09,0
ES-PV,2020-02-09,0
ES-RI,2020-02-09,0
ES-VC,2020-02-09,0
ES-AN,2020-02-10,1
ES-AR,2020-02-10,0
ES-AS,2020-02-10,0
ES-CB,2020-02-10,0
ES-CE,2020-02-10,0
ES-CL,2020-02-10,1
ES-CM,2020-02-10,0
ES-CN,2020-02-10,0
ES-CT,2020-02-10,4
ES-EX,2020-02-10,0
ES-GA,2020-02-10,0
ES-IB,2020-02-10,2
ES-MC,2020-02-10,0
ES-MD,2020-02-10,11
ES-ML,2020-02-10,0
ES-NC,2020-02-10,1
ES-PV,2020-02-10,0
ES-RI,2020-02-10,0
ES-VC,2020-02-10,1
ES-AN,2020-02-11,0
ES-AR,2020-02-11,1
ES-AS,2020-02-11,0
ES-CB,2020-02-11,0
ES-CE,2020-02-11,0
ES-CL,2020-02-11,1
ES-CM,2020-02-11,0
ES-CN,2020-02-11,0
ES-CT,2020-02-11,3
ES-EX,2020-02-11,0
ES-GA,2020-02-11,0
ES-IB,2020-02-11,0
ES-MC,2020-02-11,0
ES-MD,2020-02-11,7
ES-ML,2020-02-11,0
ES-NC,2020-02-11,0
ES-PV,2020-02-11,0
ES-RI,2020-02-11,0
ES-VC,2020-02-11,1
ES-AN,2020-02-12,1
ES-AR,2020-02-12,0
ES-AS,2020-02-12,0
ES-CB,2020-02-12,0
ES-CE,2020-02-12,0
ES-CL,2020-02-12,2
ES-CM,2020-02-12,0
ES-CN,2020-02-12,1
ES-CT,2020-02-12,6
ES-EX,2020-02-12,0
ES-GA,2020-02-12,0
ES-IB,2020-02-12,0
ES-MC,2020-02-12,0
ES-MD,2020-02-12,10
ES-ML,2020-02-12,0
ES-NC,2020-02-12,0
ES-PV,2020-02-12,2
ES-RI,2020-02-12,0
ES-VC,2020-02-12,1
ES-AN,2020-02-13,1
ES-AR,2020-02-13,1
ES-AS,2020-02-13,0
ES-CB,2020-02-13,0
ES-CE,2020-02-13,0
ES-CL,2020-02-13,0
ES-CM,2020-02-13,0
ES-CN,2020-02-13,0
ES-CT,2020-02-13,6
ES-EX,2020-02-13,0
ES-GA,2020-02-13,0
ES-IB,2020-02-13,0
ES-MC,2020-02-13,0
ES-MD,2020-02-13,15
ES-ML,2020-02-13,0
ES-NC,2020-02-13,0
ES-PV,2020-02-13,0
ES-RI,2020-02-13,0
ES-VC,2020-02-13,1
ES-AN,2020-02-14,1
ES-AR,2020-02-14,0
ES-AS,2020-02-14,0
ES-CB,2020-02-14,0
ES-CE,2020-02-14,0
ES-CL,2020-02-14,1
ES-CM,2020-02-14,0
ES-CN,2020-02-14,1
ES-CT,2020-02-14,1
ES-EX,2020-02-14,1
ES-GA,2020-02-14,0
ES-IB,2020-02-14,1
ES-MC,2020-02-14,0
ES-MD,2020-02-14,10
ES-ML,2020-02-14,0
ES-NC,2020-02-14,0
ES-PV,2020-02-14,0
ES-RI,2020-02-14,0
ES-VC,2020-02-14,2
ES-AN,2020-02-15,1
ES-AR,2020-02-15,0
ES-AS,2020-02-15,0
ES-CB,2020-02-15,0
ES-CE,2020-02-15,0
ES-CL,2020-02-15,0
ES-CM,2020-02-15,0
ES-CN,2020-02-15,0
ES-CT,2020-02-15,13
ES-EX,2020-02-15,1
ES-GA,2020-02-15,0
ES-IB,2020-02-15,0
ES-MC,2020-02-15,0
ES-MD,2020-02-15,13
ES-ML,2020-02-15,0
ES-NC,2020-02-15,0
ES-PV,2020-02-15,3
ES-RI,2020-02-15,0
ES-VC,2020-02-15,4
ES-AN,2020-02-16,0
ES-AR,2020-02-16,1
ES-AS,2020-02-16,0
ES-CB,2020-02-16,0
ES-CE,2020-02-16,0
ES-CL,2020-02-16,0
ES-CM,2020-02-16,0
ES-CN,2020-02-16,2
ES-CT,2020-02-16,2
ES-EX,2020-02-16,0
ES-GA,2020-02-16,1
ES-IB,2020-02-16,0
ES-MC,2020-02-16,0
ES-MD,2020-02-16,13
ES-ML,2020-02-16,0
ES-NC,2020-02-16,0
ES-PV,2020-02-16,1
ES-RI,2020-02-16,0
ES-VC,2020-02-16,1
ES-AN,2020-02-17,0
ES-AR,2020-02-17,1
ES-AS,2020-02-17,0
ES-CB,2020-02-17,0
ES-CE,2020-02-17,0
ES-CL,2020-02-17,0
ES-CM,2020-02-17,0
ES-CN,2020-02-17,0
ES-CT,2020-02-17,1
ES-EX,2020-02-17,1
ES-GA,2020-02-17,0
ES-IB,2020-02-17,0
ES-MC,2020-02-17,0
ES-MD,2020-02-17,19
ES-ML,2020-02-17,0
ES-NC,2020-02-17,0
ES-PV,2020-02-17,2
ES-RI,2020-02-17,0
ES-VC,2020-02-17,3
ES-AN,2020-02-18,3
ES-AR,2020-02-18,1
ES-AS,2020-02-18,0
ES-CB,2020-02-18,0
ES-CE,2020-02-18,0
ES-CL,2020-02-18,1
ES-CM,2020-02-18,0
ES-CN,2020-02-18,1
ES-CT,2020-02-18,5
ES-EX,2020-02-18,0
ES-GA,2020-02-18,1
ES-IB,2020-02-18,0
ES-MC,2020-02-18,0
ES-MD,2020-02-18,14
ES-ML,2020-02-18,0
ES-NC,2020-02-18,0
ES-PV,2020-02-18,0
ES-RI,2020-02-18,0
ES-VC,2020-02-18,1
ES-AN,2020-02-19,0
ES-AR,2020-02-19,0
ES-AS,2020-02-19,0
ES-CB,2020-02-19,0
ES-CE,2020-02-19,0
ES-CL,2020-02-19,0
ES-CM,2020-02-19,0
ES-CN,2020-02-19,1
ES-CT,2020-02-19,1
ES-EX,2020-02-19,1
ES-GA,2020-02-19,0
ES-IB,2020-02-19,0
ES-MC,2020-02-19,0
ES-MD,2020-02-19,12
ES-ML,2020-02-19,0
ES-NC,2020-02-19,0
ES-PV,2020-02-19,1
ES-RI,2020-02-19,0
ES-VC,2020-02-19,1
ES-AN,2020-02-20,4
ES-AR,2020-02-20,0
ES-AS,2020-02-20,0
ES-CB,2020-02-20,0
ES-CE,2020-02-20,0
ES-CL,2020-02-20,1
ES-CM,2020-02-20,0
ES-CN,2020-02-20,1
ES-CT,2020-02-20,14
ES-EX,2020-02-20,0
ES-GA,2020-02-20,3
ES-IB,2020-02-20,1
ES-MC,2020-02-20,0
ES-MD,2020-02-20,25
ES-ML,2020-02-20,0
ES-NC,2020-02-20,0
ES-PV,2020-02-20,1
ES-RI,2020-02-20,0
ES-VC,2020-02-20,3
ES-AN,2020-02-21,4
ES-AR,2020-02-21,2
ES-AS,2020-02-21,0
ES-CB,2020-02-21,0
ES-CE,2020-02-21,0
ES-CL,2020-02-21,4
ES-CM,2020-02-21,0
ES-CN,2020-02-21,0
ES-CT,2020-02-21,17
ES-EX,2020-02-21,0
ES-GA,2020-02-21,0
ES-IB,2020-02-21,0
ES-MC,2020-02-21,0
ES-MD,2020-02-21,26
ES-ML,2020-02-21,0
ES-NC,2020-02-21,1
ES-PV,2020-02-21,3
ES-RI,2020-02-21,0
ES-VC,2020-02-21,2
ES-AN,2020-02-22,2
ES-AR,2020-02-22,3
ES-AS,2020-02-22,0
ES-CB,2020-02-22,0
ES-CE,2020-02-22,0
ES-CL,2020-02-22,2
ES-CM,2020-02-22,0
ES-CN,2020-02-22,0
ES-CT,2020-02-22,12
ES-EX,2020-02-22,0
ES-GA,2020-02-22,2
ES-IB,2020-02-22,0
ES-MC,2020-02-22,1
ES-MD,2020-02-22,29
ES-ML,2020-02-22,0
ES-NC,2020-02-22,1
ES-PV,2020-02-22,4
ES-RI,2020-02-22,0
ES-VC,2020-02-22,2
ES-AN,2020-02-23,2
ES-AR,2020-02-23,1
ES-AS,2020-02-23,1
ES-CB,2020-02-23,1
ES-CE,2020-02-23,0
ES-CL,2020-02-23,4
ES-CM,2020-02-23,0
ES-CN,2020-02-23,1
ES-CT,2020-02-23,8
ES-EX,2020-02-23,0
ES-GA,2020-02-23,0
ES-IB,2020-02-23,0
ES-MC,2020-02-23,1
ES-MD,2020-02-23,44
ES-ML,2020-02-23,0
ES-NC,2020-02-23,1
ES-PV,2020-02-23,1
ES-RI,2020-02-23,3
ES-VC,2020-02-23,5
ES-AN,2020-02-24,5
ES-AR,2020-02-24,0
ES-AS,2020-02-24,0
ES-CB,2020-02-24,0
ES-CE,2020-02-24,0
ES-CL,2020-02-24,4
ES-CM,2020-02-24,1
ES-CN,2020-02-24,0
ES-CT,2020-02-24,12
ES-EX,2020-02-24,0
ES-GA,2020-02-24,1
ES-IB,2020-02-24,0
ES-MC,2020-02-24,1
ES-MD,2020-02-24,56
ES-ML,2020-02-24,0
ES-NC,2020-02-24,3
ES-PV,2020-02-24,7
ES-RI,2020-02-24,2
ES-VC,2020-02-24,14
ES-AN,2020-02-25,9
ES-AR,2020-02-25,1
ES-AS,2020-02-25,1
ES-CB,2020-02-25,9
ES-CE,2020-02-25,0
ES-CL,2020-02-25,5
ES-CM,2020-02-25,0
ES-CN,2020-02-25,2
ES-CT,2020-02-25,21
ES-EX,2020-02-25,2
ES-GA,2020-02-25,2
ES-IB,2020-02-25,0
ES-MC,2020-02-25,3
ES-MD,2020-02-25,50
ES-ML,2020-02-25,0
ES-NC,2020-02-25,2
ES-PV,2020-02-25,11
ES-RI,2020-02-25,2
ES-VC,2020-02-25,8
ES-AN,2020-02-26,9
ES-AR,2020-02-26,2
ES-AS,2020-02-26,0
ES-CB,2020-02-26,0
ES-CE,2020-02-26,0
ES-CL,2020-02-26,7
ES-CM,2020-02-26,0
ES-CN,2020-02-26,6
ES-CT,2020-02-26,27
ES-EX,2020-02-26,0
ES-GA,2020-02-26,3
ES-IB,2020-02-26,0
ES-MC,2020-02-26,1
ES-MD,2020-02-26,67
ES-ML,2020-02-26,0
