fecha;cod_ine;CCAA;dosis_Pfizer;dosis_Moderna;dosis_AstraZeneca;dosis_Janssen;dosis_totales;dosis_administradas;porcentaje_dosis_administradas;porcentaje_entregadas;personas_una_dosis;personas_pauta_completa;porcentaje_pauta_completa;fecha_ultima_vacuna
2021-07-21;15;Navarra;527235;81200.0;145700.0;28900.0;783035.0;738723;112.4;94.3;421666.0;357937.0;54.46;20/07/2021
2021-07-21;16;País Vasco;1839060;251400.0;549600.0;97800.0;2737860.0;2508517;114.57;91.6;1450019.0;1197443.0;54.69;20/07/2021
2021-07-21;18;Ceuta;63990;11700.0;18100.0;4150.0;97940.0;85631;101.94;87.4;49674.0;40482.0;48.19;19/07/2021
2021-07-21;19;Melilla;63990;11400.0;15100.0;5250.0;95740.0;78299;92.9;81.8;47809.0;37282.0;44.23;19/07/2021
2021-07-21;0;Fuerzas Armadas;49368;58300.0;106100.0;2000.0;215768.0;161933;121.5;75.0;88257.0;74804.0;56.12;20/07/2021
2021-07-21;0;España;37609293;5701770.0;10189600.0;2417750.0;55918413.0;52293044;110.44;93.5;29956479.0;24700450.0;52.16;
2021-07-22;1;Andalucía;6419880;1011000.0;1805800.0;476000.0;9712680.0;9464310;111.57;97.4;5302458.0;4411374.0;52.0;21/07/2021
2021-07-22;2;Aragón;1118835;153300.0;285700.0;56900.0;1614735.0;1522279;114.34;94.3;879953.0;726251.0;54.55;21/07/2021
2021-07-22;3;Asturias;940415;126400.0;235900.0;43750.0;1346465.0;1331864;131.16;98.9;722897.0;653663.0;64.37;21/07/2021
2021-07-22;4;Baleares;848610;155000.0;256400.0;55550.0;1315560.0;1215370;100.02;92.4;706679.0;576118.0;47.41;21/07/2021
2021-07-22;5;Canarias;1600530;264700.0;503700.0;120900.0;2489830.0;2274059;101.32;91.3;1336487.0;1050101.0;46.79;21/07/2021
2021-07-22;6;Cantabria;493305;67300.0;130200.0;24950.0;715755.0;667602;114.64;93.3;371653.0;316512.0;54.35;21/07/2021
2021-07-22;7;Castilla y Leon;2202825;305000.0;514400.0;102850.0;3125075.0;2898186;121.2;92.7;1625886.0;1411929.0;59.04;21/07/2021
2021-07-22;8;Castilla La Mancha;1643715;240500.0;460900.0;89425.0;2434540.0;2288828;112.03;94.0;1319133.0;1042417.0;51.02;21/07/2021
2021-07-22;9;Cataluña;6056540;895800.0;1698100.0;394000.0;9044440.0;8490655;110.91;93.9;4809346.0;4113851.0;53.74;21/07/2021
2021-07-22;10;C Valenciana;3867040;573000.0;1009800.0;307250.0;5757090.0;5413270;107.49;94.0;3053596.0;2539159.0;50.42;21/07/2021
2021-07-22;11;Extremadura;899225;121900.0;228000.0;45550.0;1294675.0;1291772;121.94;99.8;728716.0;624919.0;58.99;21/07/2021
2021-07-22;12;Galicia;2395105;323400.0;595400.0;116000.0;3429905.0;3329892;123.39;97.1;1837831.0;1635927.0;60.62;21/07/2021
2021-07-22;17;La Rioja;265655;36300.0;61400.0;14150.0;377505.0;347434;109.9;92.0;200563.0;168822.0;53.4;21/07/2021
2021-07-22;13;Madrid;5172495;825900.0;1309400.0;341800.0;7649595.0;7157266;105.95;93.6;4340809.0;3329441.0;49.28;21/07/2021
2021-07-22;14;Murcia;1141475;185000.0;259900.0;88100.0;1674475.0;1580276;104.71;94.4;909652.0;730411.0;48.4;21/07/2021
2021-07-22;15;Navarra;527235;81200.0;145700.0;28900.0;783035.0;745842;113.49;95.3;424494.0;362567.0;55.17;21/07/2021
2021-07-22;16;País Vasco;1839060;251400.0;549600.0;97800.0;2737860.0;2528408;115.48;92.3;1458494.0;1210274.0;55.28;21/07/2021
2021-07-22;18;Ceuta;63990;11700.0;18100.0;4150.0;97940.0;86444;102.91;88.3;49758.0;41222.0;49.07;21/07/2021
2021-07-22;19;Melilla;63990;11400.0;15100.0;5250.0;95740.0;79259;94.04;82.8;47842.0;38209.0;45.33;20/07/2021
2021-07-22;0;Fuerzas Armadas;49368;58300.0;106100.0;2000.0;215768.0;162933;122.25;75.5;88402.0;75663.0;56.77;21/07/2021
2021-07-22;0;España;37609293;5701770.0;10189600.0;2417750.0;55918413.0;52879267;111.67;94.6;30217311.0;25060958.0;52.93;
2021-07-23;1;Andalucía;6419880;1011000.0;1805800.0;476000.0;9712680.0;9581359;112.95;98.6;5361032.0;4475153.0;52.76;22/07/2021
2021-07-23;2;Aragón;1118835;153300.0;285700.0;56900.0;1614735.0;1544493;116.01;95.6;892007.0;737793.0;55.42;22/07/2021
2021-07-23;3;Asturias;940415;126400.0;235900.0;43750.0;1346465.0;1341629;132.12;99.6;727397.0;659171.0;64.92;22/07/2021
2021-07-23;4;Baleares;860310;155000.0;256400.0;55550.0;1327260.0;1227186;100.99;92.5;712457.0;583007.0;47.98;22/07/2021
2021-07-23;5;Canarias;1600530;264700.0;503700.0;120900.0;2489830.0;2329684;103.8;93.6;1358014.0;1094136.0;48.75;22/07/2021
2021-07-23;6;Cantabria;493305;67300.0;130200.0;24950.0;715755.0;674442;115.81;94.2;373205.0;321805.0;55.26;22/07/2021
2021-07-23;7;Castilla y Leon;2202825;305000.0;514400.0;102850.0;3125075.0;2929743;122.52;93.7;1638358.0;1431776.0;59.87;22/07/2021
2021-07-23;8;Castilla La Mancha;1643715;240500.0;460900.0;89425.0;2434540.0;2315442;113.33;95.1;1331159.0;1057181.0;51.74;22/07/2021
2021-07-23;9;Cataluña;6056540;895800.0;1698100.0;394000.0;9044440.0;8563950;111.87;94.7;4840273.0;4163252.0;54.38;22/07/2021
2021-07-23;10;C Valenciana;3867040;573000.0;1009800.0;307250.0;5757090.0;5454018;108.29;94.7;3081460.0;2560969.0;50.85;22/07/2021
2021-07-23;11;Extremadura;899225;121900.0;228000.0;45550.0;1294675.0;1305505;123.24;100.8;732952.0;635236.0;59.97;22/07/2021
