fecha;cod_ine;CCAA;dosis_Pfizer;dosis_Moderna;dosis_AstraZeneca;dosis_Janssen;dosis_totales;dosis_administradas;porcentaje_dosis_administradas;porcentaje_entregadas;personas_una_dosis;personas_pauta_completa;porcentaje_pauta_completa;fecha_ultima_vacuna
2021-01-04;1;Andalucía;140295;;;;;25809;0.30;18.4;;;0.00;03/01/2021
2021-01-04;2;Aragón;23715;;;;;2004;0.15;8.5;;;0.00;02/01/2021
2021-01-04;3;Asturias;23720;;;;;9380;0.92;39.5;;;0.00;03/01/2021
2021-01-04;4;Baleares;8940;;;;;153;0.01;1.7;;;0.00;28/12/2020
2021-01-04;5;Canarias;20835;;;;;4846;0.22;23.25;;;0.00;03/01/2021
2021-01-04;6;Cantabria;11850;;;;;304;0.05;2.6;;;0.00;30/12/2020
2021-01-04;7;Castilla y Leon;51390;;;;;10928;0.46;21.26;;;0.00;03/01/2021
2021-01-04;8;Castilla La Mancha;35550;;;;;1983;0.10;5.6;;;0.00;03/01/2021
2021-01-04;9;Cataluña;120545;;;;;8150;0.11;6.8;;;0.00;03/01/2021
2021-01-04;10;C Valenciana;61225;;;;;3252;0.06;5.3;;;0.00;03/01/2021
2021-01-04;11;Extremadura;21725;;;;;686;0.06;3.2;;;0.00;03/01/2021
2021-01-04;12;Galicia;37555;;;;;9124;0.34;24.3;;;0.00;02/01/2021
2021-01-04;17;La Rioja;5915;;;;;324;0.10;5.5;;;0.00;31/12/2020
2021-01-04;13;Madrid;89040;;;;;2883;0.04;3.2;;;0.00;03/01/2021
2021-01-04;14;Murcia;25685;;;;;442;0.03;1.7;;;0.00;04/01/2021
2021-01-04;15;Navarra;6975;;;;;1583;0.24;22.7;;;0.00;04/01/2021
2021-01-04;16;País Vasco;31605;;;;;396;0.02;1.3;;;0.00;02/01/2021
2021-01-04;18;Ceuta;1005;;;;;380;0.45;37.8;;;0.00;31/12/2020
2021-01-04;19;Melilla;1005;;;;;207;0.25;20.6;;;0.00;30/12/2020
2021-01-04;0;España;718575;;;;;82834;0.17;11.5;;;0.00;
2021-01-05;1;Andalucía;140295;;;;;40263;0.47;28.7;;;0.00;04/01/2021
2021-01-05;2;Aragón;23715;;;;;2985;0.22;12.6;;;0.00;04/01/2021
2021-01-05;3;Asturias;23720;;;;;12929;1.27;54.5;;;0.00;05/01/2021
2021-01-05;4;Baleares;12840;;;;;2656;0.22;20.7;;;0.00;04/01/2021
2021-01-05;5;Canarias;27660;;;;;5857;0.26;21.2;;;0.00;04/01/2021
2021-01-05;6;Cantabria;11850;;;;;601;0.10;5.1;;;0.00;05/01/2021
2021-01-05;7;Castilla y Leon;51390;;;;;16430;0.69;32;;;0.00;04/01/2021
2021-01-05;8;Castilla La Mancha;35550;;;;;4092;0.20;11.5;;;0.00;04/01/2021
2021-01-05;9;Cataluña;120545;;;;;11191;0.15;9.3;;;0.00;04/01/2021
2021-01-05;10;C Valenciana;61225;;;;;8586;0.17;14;;;0.00;05/01/2021
2021-01-05;11;Extremadura;21725;;;;;1806;0.17;8.3;;;0.00;04/01/2021
2021-01-05;12;Galicia;37555;;;;;12012;0.45;32;;;0.00;04/01/2021
2021-01-05;17;La Rioja;5915;;;;;585;0.19;9.9;;;0.00;04/01/2021
2021-01-05;13;Madrid;98790;;;;;5335;0.08;5.4;;;0.00;04/01/2021
2021-01-05;14;Murcia;25685;;;;;4949;0.33;19.3;;;0.00;05/01/2021
2021-01-05;15;Navarra;11850;;;;;2651;0.40;22.4;;;0.00;05/01/2021
2021-01-05;16;País Vasco;31605;;;;;5553;0.25;17.6;;;0.00;04/01/2021
2021-01-05;18;Ceuta;1005;;;;;517;0.62;51.4;;;0.00;04/01/2021
2021-01-05;19;Melilla;1005;;;;;341;0.40;33.9;;;0.00;04/01/2021
2021-01-05;0;España;743925;;;;;139339;0.29;18.7;;;0.00;
2021-01-07;1;Andalucía;140295;;;;;53934;0.64;38.4;;;0.00;06/01/2021
2021-01-07;2;Aragón;23715;;;;;6186;0.46;26.1;;;0.00;06/01/2021
2021-01-07;3;Asturias;23720;;;;;14406;1.42;60.7;;;0.00;06/01/2021
2021-01-07;4;Baleares;12840;;;;;3190;0.26;24.8;;;0.00;05/01/2021
2021-01-07;5;Canarias;27660;;;;;7330;0.33;26.5;;;0.00;06/01/2021
2021-01-07;6;Cantabria;11850;;;;;1564;0.27;13.2;;;0.00;07/01/2021
2021-01-07;7;Castilla y Leon;51390;;;;;22103;0.92;43;;;0.00;06/01/2021
2021-01-07;8;Castilla La Mancha;35550;;;;;7666;0.38;21.6;;;0.00;06/01/2021
2021-01-07;9;Cataluña;120545;;;;;24515;0.32;20.3;;;0.00;06/01/2021
2021-01-07;10;C Valenciana;61225;;;;;11677;0.23;19.1;;;0.00;07/01/2021
2021-01-07;11;Extremadura;21725;;;;;3309;0.31;15.2;;;0.00;05/01/2021
2021-01-07;12;Galicia;37555;;;;;20265;0.75;54;;;0.00;07/01/2021
2021-01-07;17;La Rioja;5915;;;;;858;0.27;14.5;;;0.00;06/01/2021
2021-01-07;13;Madrid;98790;;;;;11337;0.17;11.5;;;0.00;07/01/2021
2021-01-07;14;Murcia;25685;;;;;7287;0.48;28.4;;;0.00;07/01/2021
2021-01-07;15;Navarra;11850;;;;;2960;0.45;25;;;0.00;06/01/2021
2021-01-07;16;País Vasco;31605;;;;;7734;0.35;24.5;;;0.00;06/01/2021
2021-01-07;18;Ceuta;1005;;;;;576;0.69;57.3;;;0.00;05/01/2021
2021-01-07;19;Melilla;1005;;;;;426;0.51;42.4;;;0.00;05/01/2021
2021-01-07;0;España;743925;;;;;207323;0.44;27.9;;;0.00;
2021-01-08;1;Andalucía;140295;;;;;69445;0.82;49.5;;;0.00;07/01/2021
2021-01-08;2;Aragón;23715;;;;;9944;0.75;41.9;;;0.00;08/01/2021
2021-01-08;3;Asturias;23720;;;;;17843;1.76;75.2;;;0.00;08/01/2021
2021-01-08;4;Baleares;12840;;;;;4257;0.35;33.2;;;0.00;07/12/2021
2021-01-08;5;Canarias;27660;;;;;9572;0.43;34.6;;;0.00;08/01/2021
2021-01-08;6;Cantabria;11850;;;;;2334;0.40;19.7;;;0.00;08/01/2021
2021-01-08;7;Castilla y Leon;51390;;;;;28325;1.18;55.1;;;0.00;07/01/2021
2021-01-08;8;Castilla La Mancha;35550;;;;;12380;0.61;34.8;;;0.00;07/01/2021
2021-01-08;9;Cataluña;120545;;;;;38826;0.51;32.2;;;0.00;07/01/2021
2021-01-08;10;C Valenciana;61225;;;;;15965;0.32;26.1;;;0.00;08/01/2021
2021-01-08;11;Extremadura;21725;;;;;4727;0.45;21.8;;;0.00;07/01/2021
2021-01-08;12;Galicia;37555;;;;;24750;0.92;65.9;;;0.00;08/01/2021
2021-01-08;17;La Rioja;5915;;;;;1674;0.53;28.3;;;0.00;08/01/2021
2021-01-08;13;Madrid;98790;;;;;14152;0.21;14.3;;;0.00;08/01/2021
2021-01-08;14;Murcia;25685;;;;;8958;0.59;34.9;;;0.00;08/01/2021
2021-01-08;15;Navarra;11850;;;;;3703;0.56;31.2;;;0.00;07/01/2021
2021-01-08;16;País Vasco;31605;;;;;9811;0.45;31;;;0.00;07/01/2021
2021-01-08;18;Ceuta;1005;;;;;637;0.76;63.4;;;0.00;07/01/2021
2021-01-08;19;Melilla;1005;;;;;673;0.80;67;;;0.00;08/01/2021
2021-01-08;0;España;743925;;;;;277976;0.59;37.4;;;0.00;
2021-01-11;1;Andalucía;140295;;;;;81387;0.96;58;;;0.00;09/01/2021
2021-01-11;2;Aragón;23715;;;;;10998;0.83;46.4;;;0.00;09/01/2021
2021-01-11;3;Asturias;23720;;;;;18943;1.87;79.9;;;0.00;09/01/2021
2021-01-11;4;Baleares;12840;;;;;4652;0.38;36.2;;;0.00;08/01/2021
2021-01-11;5;Canarias;27660;;;;;13607;0.61;49.2;;;0.00;11/01/2021
2021-01-11;6;Cantabria;11850;;;;;8474;1.46;71.5;;;0.00;11/01/2021
2021-01-11;7;Castilla y Leon;51390;;;;;36205;1.51;70.5;;;0.00;10/01/2021
2021-01-11;8;Castilla La Mancha;35550;;;;;19209;0.94;54;;;0.00;11/01/2021
2021-01-11;9;Cataluña;120545;;;;;68405;0.89;56.7;;;0.00;10/01/2021
2021-01-11;10;C Valenciana;61225;;;;;45674;0.91;74.6;;;0.00;11/01/2021
2021-01-11;11;Extremadura;21725;;;;;9303;0.88;42.8;;;0.00;10/01/2021
2021-01-11;12;Galicia;37555;;;;;30418;1.13;81;;;0.00;11/01/2021
2021-01-11;17;La Rioja;5915;;;;;3457;1.09;58.4;;;0.00;11/01/2021
2021-01-11;13;Madrid;98790;;;;;24897;0.37;25.2;;;0.00;11/01/2021
2021-01-11;14;Murcia;25685;;;;;10361;0.69;40.3;;;0.00;11/01/2021
2021-01-11;15;Navarra;11850;;;;;5468;0.83;46.1;;;0.00;10/01/2021
2021-01-11;16;País Vasco;31605;;;;;13103;0.60;41.5;;;0.00;10/01/2021
2021-01-11;18;Ceuta;1005;;;;;698;0.83;69.5;;;0.00;08/01/2021
2021-01-11;19;Melilla;1005;;;;;832;0.99;82.8;;;0.00;08/01/2021
2021-01-11;0;España;743925;;;;;406091;0.86;54.6;;;0.00;
2021-01-12;1;Andalucía;140295;;;;;94879;1.12;67.6;;;0.00;11/01/2021
2021-01-12;2;Aragón;23715;;;;;11983;0.90;50.5;;;0.00;11/01/2021
2021-01-12;3;Asturias;23720;;;;;22428;2.21;94.6;;;0.00;12/01/2021
2021-01-12;4;Baleares;12840;;;;;4835;0.40;37.7;;;0.00;11/01/2021
2021-01-12;5;Canarias;27660;;;;;15328;0.68;55.4;;;0.00;12/01/2021
2021-01-12;6;Cantabria;11850;;;;;9527;1.64;80.4;;;0.00;12/01/2021
2021-01-12;7;Castilla y Leon;51390;;;;;41340;1.73;80.4;;;0.00;11/01/2021
2021-01-12;8;Castilla La Mancha;35550;;;;;23342;1.14;65.7;;;0.00;12/01/2021
2021-01-12;9;Cataluña;120545;;;;;82785;1.08;68.7;;;0.00;10/01/2021
2021-01-12;10;C Valenciana;61225;;;;;57223;1.14;93.5;;;0.00;12/01/2021
2021-01-12;11;Extremadura;21725;;;;;11346;1.07;52.2;;;0.00;11/01/2021
2021-01-12;12;Galicia;37555;;;;;33346;1.24;88.8;;;0.00;12/01/2021
2021-01-12;17;La Rioja;5915;;;;;3826;1.21;64.7;;;0.00;11/01/2021
2021-01-12;13;Madrid;98790;;;;;35949;0.53;36.4;;;0.00;12/01/2021
2021-01-12;14;Murcia;25685;;;;;16191;1.07;63;;;0.00;12/01/2021
2021-01-12;15;Navarra;11850;;;;;6557;1.00;55.3;;;0.00;11/01/2021
2021-01-12;16;País Vasco;31605;;;;;15393;0.70;48.7;;;0.00;11/01/2021
2021-01-12;18;Ceuta;1005;;;;;758;0.90;75.4;;;0.00;11/01/2021
2021-01-12;19;Melilla;1005;;;;;1005;1.19;100;;;0.00;11/01/2021
2021-01-12;0;España;743925;;;;;488041;1.03;65.6;;;0.00;
2021-01-13;1;Andalucía;209520;;;;;109831;1.29;52.4;;;0.00;12/01/2021
2021-01-13;2;Aragón;35415;;;;;17043;1.28;48.1;;;0.00;12/01/2021
2021-01-13;3;Asturias;35420;;;;;25278;2.49;71.4;;;0.00;13/01/2021
2021-01-13;4;Baleares;12840;;;;;4931;0.41;38.4;;;0.00;12/01/2021
2021-01-13;5;Canarias;41310;;;;;22290;0.99;54;;;0.00;13/01/2022
2021-01-13;6;Cantabria;17700;;;;;11302;1.94;63.9;;;0.00;13/01/2021
2021-01-13;7;Castilla y Leon;76740;;;;;48243;2.02;62.9;;;0.00;12/01/2021
2021-01-13;8;Castilla La Mancha;53100;;;;;26879;1.32;50.6;;;0.00;13/01/2021
2021-01-13;9;Cataluña;180020;;;;;92133;1.20;51.2;;;0.00;12/01/2021
2021-01-13;10;C Valenciana;91450;;;;;70870;1.41;77.5;;;0.00;13/01/2021
2021-01-13;11;Extremadura;32450;;;;;14293;1.35;44;;;0.00;12/01/2021
2021-01-13;12;Galicia;56080;;;;;37745;1.40;67.3;;;0.00;13/01/2021
2021-01-13;17;La Rioja;8840;;;;;4651;1.47;52.6;;;0.00;12/01/2021
2021-01-13;13;Madrid;147540;;;;;49228;0.73;33.4;;;0.00;13/01/2021
2021-01-13;14;Murcia;38360;;;;;19905;1.32;51.9;;;0.00;13/01/2021
2021-01-13;15;Navarra;17700;;;;;7420;1.13;41.9;;;0.00;12/01/2021
2021-01-13;16;País Vasco;47205;;;;;17771;0.81;37.6;;;0.00;12/01/2021
2021-01-13;18;Ceuta;1005;;;;;820;0.98;81.6;;;0.00;12/01/2021
2021-01-13;19;Melilla;1005;;;;;1005;1.19;100;;;0.00;12/01/2021
2021-01-13;0;España;1103700;;;;;581638;1.23;52.7;;;0.00;
2021-01-14;1;Andalucía;209520;6800.0;;;216320.0;123459;1.46;57.1;;;0.00;13/01/2021
2021-01-14;2;Aragón;35415;1200.0;;;36615.0;20854;1.57;57;;;0.00;13/01/2021
2021-01-14;3;Asturias;35420;1200.0;;;36620.0;29074;2.86;79.4;;;0.00;14/01/2021
2021-01-14;4;Baleares;12840;600.0;;;13440.0;7552;0.62;56.2;;;0.00;13/01/2021
2021-01-14;5;Canarias;41310;1300.0;;;42610.0;25159;1.12;59;;;0.00;13/01/2022
2021-01-14;6;Cantabria;17700;500.0;;;18200.0;12779;2.19;70.2;;;0.00;14/01/2021
2021-01-14;7;Castilla y Leon;76740;2500.0;;;79240.0;57969;2.42;73.2;;;0.00;14/01/2021
2021-01-14;8;Castilla La Mancha;53100;1700.0;;;54800.0;30613;1.50;55.9;;;0.00;14/01/2021
2021-01-14;9;Cataluña;180020;5800.0;;;185820.0;105587;1.38;56.8;;;0.00;13/01/2021
2021-01-14;10;C Valenciana;91450;2900.0;;;94350.0;80429;1.60;85.2;;;0.00;14/01/2021
2021-01-14;11;Extremadura;32450;1000.0;;;33450.0;17862;1.69;53.4;;;0.00;13/01/2021
2021-01-14;12;Galicia;56080;1800.0;;;57880.0;44014;1.63;76;;;0.00;14/01/2021
2021-01-14;17;La Rioja;8840;200.0;;;9040.0;5385;1.70;59.6;;;0.00;13/01/2021
2021-01-14;13;Madrid;147540;4700.0;;;152240.0;63385;0.94;41.6;;;0.00;14/01/2021
2021-01-14;14;Murcia;38360;1200.0;;;39560.0;21739;1.44;55;;;0.00;14/01/2021
2021-01-14;15;Navarra;17700;500.0;;;18200.0;8314;1.27;45.7;;;0.00;13/01/2021
2021-01-14;16;País Vasco;47205;1400.0;;;48605.0;20003;0.91;41.2;;;0.00;13/01/2021
2021-01-14;18;Ceuta;1005;200.0;;;1205.0;911;1.08;75.6;;;0.00;13/01/2021
2021-01-14;19;Melilla;1005;200.0;;;1205.0;1098;1.30;91.1;;;0.00;14/01/2021
2021-01-14;0;España;1103700;35700.0;;;1139400.0;676186;1.43;59.3;;;0.00;
2021-01-15;1;Andalucía;209520;6800.0;;;216320.0;139718;1.65;64.6;;;0.00;14/01/2021
2021-01-15;2;Aragón;35415;1200.0;;;36615.0;23619;1.77;64.5;;;0.00;14/01/2021
2021-01-15;3;Asturias;35420;1200.0;;;36620.0;31247;3.08;85.3;;;0.00;15/01/2021
2021-01-15;4;Baleares;12840;600.0;;;13440.0;9366;0.77;69.7;;;0.00;14/01/2021
2021-01-15;5;Canarias;41310;1300.0;;;42610.0;30732;1.37;72.1;;;0.00;15/01/2021
2021-01-15;6;Cantabria;17700;500.0;;;18200.0;14639;2.51;80.4;;;0.00;15/01/2021
2021-01-15;7;Castilla y Leon;76740;2500.0;;;79240.0;59411;2.48;75;;;0.00;14/01/2021
2021-01-15;8;Castilla La Mancha;53100;1700.0;;;54800.0;33809;1.65;61.7;;;0.00;15/01/2021
2021-01-15;9;Cataluña;180020;5800.0;;;185820.0;122577;1.60;66;;;0.00;14/01/2021
2021-01-15;10;C Valenciana;91450;2900.0;;;94350.0;86927;1.73;92.1;;;0.00;15/01/2021
2021-01-15;11;Extremadura;32450;1000.0;;;33450.0;22322;2.11;66.7;;;0.00;14/01/2021
2021-01-15;12;Galicia;56080;1800.0;;;57880.0;49768;1.84;86;;;0.00;15/01/2021
2021-01-15;17;La Rioja;8840;200.0;;;9040.0;5953;1.88;65.9;;;0.00;14/01/2021
2021-01-15;13;Madrid;147540;4700.0;;;152240.0;77921;1.15;51.2;;;0.00;15/01/2021
2021-01-15;14;Murcia;38360;1200.0;;;39560.0;27001;1.79;68.3;;;0.00;15/01/2021
2021-01-15;15;Navarra;17700;500.0;;;18200.0;9305;1.42;51.1;;;0.00;14/01/2021
2021-01-15;16;País Vasco;47205;1400.0;;;48605.0;22464;1.03;46.2;;;0.00;14/01/2021
2021-01-15;18;Ceuta;1005;200.0;;;1205.0;941;1.12;78.1;;;0.00;14/01/2021
2021-01-15;19;Melilla;1005;200.0;;;1205.0;1230;1.46;102.1;;;0.00;14/01/2021
2021-01-15;0;España;1103700;35700.0;;;1139400.0;768950;1.62;67.5;;;0.00;
2021-01-18;1;Andalucía;209520;6800.0;;;216320.0;151404;1.78;70;;533.0;0.01;17/01/2021
2021-01-18;2;Aragón;35415;1200.0;;;36615.0;25133;1.89;68.6;;0.0;0.00;17/01/2021
2021-01-18;3;Asturias;35420;1200.0;;;36620.0;33572;3.31;91.7;;202.0;0.02;18/01/2021
2021-01-18;4;Baleares;16740;600.0;;;17340.0;13750;1.13;79.3;;155.0;0.01;17/01/2021
2021-01-18;5;Canarias;41310;1300.0;;;42610.0;42113;1.88;98.8;;327.0;0.01;18/01/2021
2021-01-18;6;Cantabria;17700;500.0;;;18200.0;17724;3.04;97.4;;0.0;0.00;16/01/2021
2021-01-18;7;Castilla y Leon;76740;2500.0;;;79240.0;67079;2.81;84.7;;124.0;0.01;17/01/2021
2021-01-18;8;Castilla La Mancha;53100;1700.0;;;54800.0;38321;1.88;69.9;;0.0;0.00;17/01/2021
2021-01-18;9;Cataluña;180020;5800.0;;;185820.0;145073;1.90;78.1;;167.0;0.00;17/01/2021
2021-01-18;10;C Valenciana;91450;2900.0;;;94350.0;93695;1.86;99.3;;152.0;0.00;18/01/2021
2021-01-18;11;Extremadura;32450;1000.0;;;33450.0;27613;2.61;82.6;;0.0;0.00;17/01/2021
2021-01-18;12;Galicia;56080;1800.0;;;57880.0;56481;2.09;97.6;;150.0;0.01;18/01/2021
2021-01-18;17;La Rioja;8840;200.0;;;9040.0;7761;2.45;85.9;;0.0;0.00;15/01/2021
2021-01-18;13;Madrid;147540;4700.0;;;152240.0;104490;1.55;68.6;;476.0;0.01;18/01/2021
2021-01-18;14;Murcia;38360;1200.0;;;39560.0;34103;2.26;86.2;;0.0;0.00;18/01/2021
2021-01-18;15;Navarra;17700;500.0;;;18200.0;11834;1.80;65;;0.0;0.00;17/01/2021
2021-01-18;16;País Vasco;47205;1400.0;;;48605.0;25526;1.17;52.5;;0.0;0.00;17/01/2021
2021-01-18;18;Ceuta;1005;200.0;;;1205.0;981;1.17;81.4;;29.0;0.03;17/01/2021
2021-01-18;19;Melilla;1005;200.0;;;1205.0;1289;1.53;107;;0.0;0.00;15/01/2021
2021-01-18;0;España;1107600;35700.0;;;1143300.0;897942;1.90;78.5;;2315.0;0.00;
2021-01-19;1;Andalucía;209520;6800.0;;;216320.0;164820;1.94;76.2;;1773.0;0.02;18/01/2021
2021-01-19;2;Aragón;35415;1200.0;;;36615.0;28316;2.13;77.3;;250.0;0.02;18/01/2021
2021-01-19;3;Asturias;35420;1200.0;;;36620.0;34293;3.38;93.6;;1285.0;0.13;19/01/2021
2021-01-19;4;Baleares;16740;600.0;;;17340.0;14658;1.21;84.5;;164.0;0.01;18/01/2021
2021-01-19;5;Canarias;41310;1300.0;;;42610.0;43209;1.93;101.4;;339.0;0.02;19/01/2021
2021-01-19;6;Cantabria;17700;500.0;;;18200.0;18967;3.26;104.2;;0.0;0.00;19/01/2021
2021-01-19;7;Castilla y Leon;76740;2500.0;;;79240.0;70885;2.96;89.5;;432.0;0.02;18/01/2021
2021-01-19;8;Castilla La Mancha;53100;1700.0;;;54800.0;43682;2.14;79.7;;189.0;0.01;18/01/2021
2021-01-19;9;Cataluña;180020;5800.0;;;185820.0;156627;2.05;84.3;;432.0;0.01;18/01/2021
2021-01-19;10;C Valenciana;91450;2900.0;;;94350.0;95260;1.89;101;;588.0;0.01;19/01/2021
2021-01-19;11;Extremadura;32450;1000.0;;;33450.0;29125;2.75;87.1;;254.0;0.02;18/01/2021
2021-01-19;12;Galicia;56080;1800.0;;;57880.0;57871;2.14;99.98;;1191.0;0.04;19/01/2021
2021-01-19;17;La Rioja;8840;200.0;;;9040.0;8049;2.55;89;;44.0;0.01;18/01/2021
2021-01-19;13;Madrid;147540;4700.0;;;152240.0;120168;1.78;78.9;;719.0;0.01;19/01/2021
2021-01-19;14;Murcia;38360;1200.0;;;39560.0;36730;2.43;92.8;;934.0;0.06;19/01/2021
2021-01-19;15;Navarra;17700;500.0;;;18200.0;12991;1.98;71.4;;299.0;0.05;18/01/2021
2021-01-19;16;País Vasco;47205;1400.0;;;48605.0;28069;1.28;57.7;;390.0;0.02;18/01/2021
2021-01-19;18;Ceuta;1005;200.0;;;1205.0;1080;1.29;89.6;;29.0;0.03;18/01/2021
2021-01-19;19;Melilla;1005;200.0;;;1205.0;1297;1.54;107.6;;29.0;0.03;18/01/2021
2021-01-19;0;España;1107600;35700.0;;;1143300.0;966097;2.04;84.5;;9341.0;0.02;
2021-01-20;1;Andalucía;244620;6800.0;;;251420.0;174279;2.05;69.3;;4568.0;0.05;19/01/2021
2021-01-20;2;Aragón;41265;1200.0;;;42465.0;33734;2.53;79.4;;623.0;0.05;19/01/2021
2021-01-20;3;Asturias;44195;1200.0;;;45395.0;36054;3.55;79.4;;1687.0;0.17;19/01/2021
2021-01-20;4;Baleares;22590;600.0;;;23190.0;15697;1.29;67.7;;167.0;0.01;19/01/2021
2021-01-20;5;Canarias;46185;1300.0;;;47485.0;43599;1.94;91.8;;339.0;0.02;20/01/2021
2021-01-20;6;Cantabria;20625;500.0;;;21125.0;19473;3.34;92.2;;0.0;0.00;20/01/2021
2021-01-20;7;Castilla y Leon;93315;2500.0;;;95815.0;74350;3.11;77.6;;633.0;0.03;19/01/2021
2021-01-20;8;Castilla La Mancha;61875;1700.0;;;63575.0;48755;2.39;76.7;;195.0;0.01;19/01/2021
2021-01-20;9;Cataluña;211220;5800.0;;;217020.0;162830;2.13;75;;913.0;0.01;19/01/2021
2021-01-20;10;C Valenciana;109000;2900.0;;;111900.0;99932;1.98;89.3;;1737.0;0.03;20/01/2021
2021-01-20;11;Extremadura;39275;1000.0;;;40275.0;30941;2.92;76.8;;254.0;0.02;19/01/2021
2021-01-20;12;Galicia;66805;1800.0;;;68605.0;59104;2.19;86.2;;1197.0;0.04;19/01/2021
2021-01-20;17;La Rioja;11765;200.0;;;11965.0;8335;2.64;69.7;;44.0;0.01;19/01/2021
2021-01-20;13;Madrid;171915;4700.0;;;176615.0;129194;1.91;73.2;;812.0;0.01;19/01/2021
2021-01-20;14;Murcia;45185;1200.0;;;46385.0;39142;2.59;84.4;;1522.0;0.10;20/01/2021
2021-01-20;15;Navarra;20625;500.0;;;21125.0;14559;2.22;68.9;;503.0;0.08;19/01/2021
2021-01-20;16;País Vasco;55980;1400.0;;;57380.0;33523;1.53;58.4;;390.0;0.02;19/01/2021
2021-01-20;18;Ceuta;1980;200.0;;;2180.0;1110;1.32;50.9;;29.0;0.03;19/01/2021
2021-01-20;19;Melilla;1980;200.0;;;2180.0;1326;1.57;60.8;;29.0;0.03;18/01/2021
2021-01-20;0;España;1310400;35700.0;;;1346100.0;1025937;2.17;76.2;;15642.0;0.03;
2021-01-21;1;Andalucía;244620;6800.0;;;251420.0;194101;2.29;77.2;;15193.0;0.18;20/01/2021
2021-01-21;2;Aragón;41265;1200.0;;;42465.0;38170;2.87;89.9;;1731.0;0.13;21/01/2021
2021-01-21;3;Asturias;44195;1200.0;;;45395.0;40011;3.94;88.1;;5664.0;0.56;21/01/2021
2021-01-21;4;Baleares;22590;600.0;;;23190.0;18105;1.49;78.1;;1514.0;0.12;20/01/2021
2021-01-21;5;Canarias;46185;1300.0;;;47485.0;45482;2.03;95.8;;1744.0;0.08;20/01/2021
2021-01-21;6;Cantabria;20625;500.0;;;21125.0;19980;3.43;94.6;;241.0;0.04;20/01/2021
2021-01-21;7;Castilla y Leon;93315;2500.0;;;95815.0;82162;3.44;85.8;;5296.0;0.22;20/01/2021
2021-01-21;8;Castilla La Mancha;61875;1700.0;;;63575.0;53880;2.64;84.8;;1202.0;0.06;20/01/2021
2021-01-21;9;Cataluña;211220;5800.0;;;217020.0;168054;2.20;77.4;;2598.0;0.03;20/01/2021
2021-01-21;10;C Valenciana;109000;2900.0;;;111900.0;101437;2.01;90.6;;2956.0;0.06;20/01/2021
2021-01-21;11;Extremadura;39275;1000.0;;;40275.0;32039;3.02;79.6;;638.0;0.06;20/01/2021
2021-01-21;12;Galicia;66805;1800.0;;;68605.0;62011;2.30;90.4;;3861.0;0.14;20/01/2021
2021-01-21;17;La Rioja;11765;200.0;;;11965.0;8684;2.75;72.6;;267.0;0.08;21/01/2021
2021-01-21;13;Madrid;171915;4700.0;;;176615.0;142765;2.11;80.8;;1738.0;0.03;20/01/2021
2021-01-21;14;Murcia;45185;1200.0;;;46385.0;40757;2.70;87.9;;1784.0;0.12;21/01/2021
2021-01-21;15;Navarra;20625;500.0;;;21125.0;15754;2.40;74.6;;767.0;0.12;20/01/2021
2021-01-21;16;País Vasco;55980;1400.0;;;57380.0;36864;1.68;64.2;;1333.0;0.06;20/01/2021
2021-01-21;18;Ceuta;1980;200.0;;;2180.0;1545;1.84;70.9;;326.0;0.39;20/01/2021
2021-01-21;19;Melilla;1980;200.0;;;2180.0;1500;1.78;68.8;;203.0;0.24;20/01/2021
2021-01-21;0;España;1310400;35700.0;;;1346100.0;1103301;2.33;82;;49056.0;0.10;
2021-01-22;1;Andalucía;244620;6800.0;;;251420.0;209766;2.47;83.4;;20846.0;0.25;21/01/2021
2021-01-22;2;Aragón;41265;1200.0;;;42465.0;41287;3.10;97.2;;2165.0;0.16;21/01/2021
2021-01-22;3;Asturias;44195;1200.0;;;45395.0;41465;4.08;91.3;;6851.0;0.67;22/01/2021
2021-01-22;4;Baleares;22590;600.0;;;23190.0;20499;1.69;88.4;;2660.0;0.22;21/01/2021
2021-01-22;5;Canarias;46185;1300.0;;;47485.0;47068;2.10;99.1;;2865.0;0.13;21/01/2021
2021-01-22;6;Cantabria;20625;500.0;;;21125.0;20462;3.51;96.9;;241.0;0.04;21/01/2021
2021-01-22;7;Castilla y Leon;93315;2500.0;;;95815.0;86370;3.61;90.1;;6060.0;0.25;21/01/2021
2021-01-22;8;Castilla La Mancha;61875;1700.0;;;63575.0;57031;2.79;89.7;;1593.0;0.08;21/01/2021
2021-01-22;9;Cataluña;211220;5800.0;;;217020.0;173147;2.26;79.8;;4101.0;0.05;21/01/2021
2021-01-22;10;C Valenciana;109000;2900.0;;;111900.0;103426;2.05;92.4;;4139.0;0.08;21/01/2021
2021-01-22;11;Extremadura;39275;1000.0;;;40275.0;32979;3.11;81.9;;638.0;0.06;21/01/2021
2021-01-22;12;Galicia;66805;1800.0;;;68605.0;65394;2.42;95.3;;7204.0;0.27;21/01/2021
2021-01-22;17;La Rioja;11765;200.0;;;11965.0;8967;2.84;74.9;;317.0;0.10;21/01/2021
2021-01-22;13;Madrid;171915;4700.0;;;176615.0;154778;2.29;87.6;;2263.0;0.03;21/01/2021
2021-01-22;14;Murcia;45185;1200.0;;;46385.0;42261;2.80;91.1;;2086.0;0.14;22/01/2021
2021-01-22;15;Navarra;20625;500.0;;;21125.0;16310;2.48;77.2;;807.0;0.12;21/01/2021
