fecha,num_casos,lug_ocio,lug_mercado,lug_parque,lug_estacion,lug_trabajo,lug_residencial,dosis_administradas,porcentaje_dosis_administradas,personas_una_dosis,personas_pauta_completa,porcentaje_pauta_completa,cod_ine,dia_sem,dia_year,dia_mes,is_weekend,Población,incidencia,casos_D-1,casos_D-2,casos_D-3,casos_D-4,casos_D-5,casos_D-6,casos_D-7,casos_D-8,casos_D-9,casos_D-10,lug_ocio_D-7,lug_mercado_D-7,lug_parque_D-7,lug_estacion_D-7,lug_trabajo_D-7,lug_residencial_D-7,lug_ocio_D-14,lug_mercado_D-14,lug_parque_D-14,lug_estacion_D-14,lug_trabajo_D-14,lug_residencial_D-14,lug_ocio_D-21,lug_mercado_D-21,lug_parque_D-21,lug_estacion_D-21,lug_trabajo_D-21,lug_residencial_D-21,lug_ocio_D-28,lug_mercado_D-28,lug_parque_D-28,lug_estacion_D-28,lug_trabajo_D-28,lug_residencial_D-28
2020-01-31,0,-4.0,-2.0,6.0,-28.666666666666664,1.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,19,4,31,31,0,87076,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0,1.0,-2.0,34.0,-29.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,15,4,31,31,0,661197,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0,-3.0,-3.0,39.0,9.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,16,4,31,31,0,2220504,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0,0.0,0.0,27.0,7.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,17,4,31,31,0,319914,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0,2.0,0.0,33.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,10,4,31,31,0,5057353,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,6.0,4.0,17.0,10.0,1.0,-4.0,0.0,0.0,0.0,0.0,0.0,1,5,32,1,1,8464411,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,-2.0,14.0,20.0,8.0,-3.0,-4.0,0.0,0.0,0.0,0.0,0.0,2,5,32,1,1,1329391,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,2.0,1.0,11.0,6.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,3,5,32,1,1,1018784,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,14.0,6.0,12.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,6,5,32,1,1,582905,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,3.0,-4.0,10.0,-40.20588235294117,1.0,4.666666666666666,0.0,0.0,0.0,0.0,0.0,18,5,32,1,1,84202,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,10.0,9.0,37.0,16.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,7,5,32,1,1,2394918,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,10.0,6.0,40.0,11.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,8,5,32,1,1,2045221,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,-3.0,-2.0,5.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,32,1,1,2175952,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,7,-6.0,2.0,4.0,4.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,9,5,32,1,1,7780479,8.996875385178727e-07,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,5.0,6.0,21.0,11.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,11,5,32,1,1,1063987,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,-11.0,-17.0,-31.0,1.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,12,5,32,1,1,2701819,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,1.0,5.0,4.0,8.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,4,5,32,1,1,1171543,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,-2.0,0.0,1.0,7.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,14,5,32,1,1,1511251,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,8,3.0,4.0,34.0,4.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,13,5,32,1,1,6779888,1.17996049492263e-06,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,1.0,-13.0,-2.0,-15.333333333333332,-2.0,3.666666666666666,0.0,0.0,0.0,0.0,0.0,19,5,32,1,1,87076,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,6.0,0.0,28.0,-25.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,15,5,32,1,1,661197,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,4.0,2.0,7.0,8.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,16,5,32,1,1,2220504,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,4.0,4.0,14.0,17.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,17,5,32,1,1,319914,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,1,-3.0,0.0,8.0,1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,10,5,32,1,1,5057353,1.977318965079163e-07,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,1,0.0,0.0,10.0,8.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,6,33,2,1,8464411,1.1814171121889049e-07,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,-1.0,8.0,14.0,7.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,6,33,2,1,1329391,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,-2.0,0.0,-13.0,3.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,3,6,33,2,1,1018784,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,-4.0,-1.0,-16.0,-5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6,6,33,2,1,582905,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,-3.0,0.0,8.0,-40.80882352941177,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,18,6,33,2,1,84202,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,1.0,4.0,11.0,7.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,7,6,33,2,1,2394918,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,-1.0,2.0,8.0,6.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,8,6,33,2,1,2045221,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,-3.0,-2.0,-2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,33,2,1,2175952,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,2,0.0,1.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,33,2,1,7780479,2.570535824336779e-07,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,-2.0,2.0,5.0,1.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,11,6,33,2,1,1063987,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,1,1.0,3.0,19.0,9.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,12,6,33,2,1,2701819,3.70121018469409e-07,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,3.0,3.0,15.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,33,2,1,1171543,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,-1.0,1.0,2.0,6.0,13.0,-2.0,0.0,0.0,0.0,0.0,0.0,14,6,33,2,1,1511251,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,6,1.0,3.0,10.0,4.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,13,6,33,2,1,6779888,8.849703711919725e-07,8,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,-1.0,-3.0,-2.0,-2.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,19,6,33,2,1,87076,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,0.0,3.0,2.0,-40.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,15,6,33,2,1,661197,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,-8.0,-1.0,-30.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16,6,33,2,1,2220504,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,-2.0,1.0,-6.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17,6,33,2,1,319914,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,-2.0,2.0,9.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10,6,33,2,1,5057353,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,1,-1.0,0.0,6.0,7.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,0,34,3,0,8464411,1.1814171121889049e-07,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
