ccaa_iso,fecha,num_casos,lug_ocio,lug_mercado,lug_parque,lug_estacion,lug_trabajo,lug_residencial,dosis_administradas,porcentaje_dosis_administradas,personas_una_dosis,personas_pauta_completa,porcentaje_pauta_completa,Fallecidos,Hospitalizados,UCI,CCAA,cod_ine
ES-MD,2020-02-11,7,,,,,,,,,,,,0,6,2,Comunidad de Madrid,13
ES-ML,2020-02-11,0,,,,,,,,,,,,0,0,0,Melilla,19
ES-NC,2020-02-11,0,,,,,,,,,,,,0,1,0,Comunidad Foral de Navarra,15
ES-PV,2020-02-11,0,,,,,,,,,,,,0,2,0,País Vasco,16
ES-RI,2020-02-11,0,,,,,,,,,,,,0,0,0,La Rioja,17
ES-VC,2020-02-11,1,,,,,,,,,,,,0,1,0,Comunidad Valenciana,10
ES-AN,2020-02-12,1,,,,,,,,,,,,0,1,0,Andalucía,1
ES-AR,2020-02-12,0,,,,,,,,,,,,0,0,0,Aragón,2
ES-AS,2020-02-12,0,,,,,,,,,,,,0,0,0,Principado de Asturias,3
ES-CB,2020-02-12,0,,,,,,,,,,,,0,0,0,Cantabria,6
ES-CE,2020-02-12,0,,,,,,,,,,,,0,0,0,Ceuta,18
ES-CL,2020-02-12,2,,,,,,,,,,,,0,1,0,Castilla-León,7
ES-CM,2020-02-12,0,,,,,,,,,,,,0,0,0,Castilla-La Mancha,8
ES-CN,2020-02-12,1,,,,,,,,,,,,0,0,0,Canarias,5
ES-CT,2020-02-12,6,,,,,,,,,,,,0,6,0,Cataluña,9
ES-EX,2020-02-12,0,,,,,,,,,,,,0,0,0,Extremadura,11
ES-GA,2020-02-12,0,,,,,,,,,,,,0,0,0,Galicia,12
ES-IB,2020-02-12,0,,,,,,,,,,,,0,0,0,Islas Baleares,4
ES-MC,2020-02-12,0,,,,,,,,,,,,0,1,0,Región de Murcia,14
ES-MD,2020-02-12,10,,,,,,,,,,,,0,9,0,Comunidad de Madrid,13
ES-ML,2020-02-12,0,,,,,,,,,,,,0,0,0,Melilla,19
ES-NC,2020-02-12,0,,,,,,,,,,,,0,0,0,Comunidad Foral de Navarra,15
ES-PV,2020-02-12,2,,,,,,,,,,,,0,0,0,País Vasco,16
ES-RI,2020-02-12,0,,,,,,,,,,,,0,0,0,La Rioja,17
ES-VC,2020-02-12,1,,,,,,,,,,,,0,0,0,Comunidad Valenciana,10
ES-AN,2020-02-13,1,,,,,,,,,,,,0,1,0,Andalucía,1
ES-AR,2020-02-13,1,,,,,,,,,,,,0,0,0,Aragón,2
ES-AS,2020-02-13,0,,,,,,,,,,,,0,0,0,Principado de Asturias,3
ES-CB,2020-02-13,0,,,,,,,,,,,,0,0,0,Cantabria,6
ES-CE,2020-02-13,0,,,,,,,,,,,,0,0,0,Ceuta,18
ES-CL,2020-02-13,0,,,,,,,,,,,,0,0,0,Castilla-León,7
ES-CM,2020-02-13,0,,,,,,,,,,,,0,0,0,Castilla-La Mancha,8
ES-CN,2020-02-13,0,,,,,,,,,,,,0,0,0,Canarias,5
ES-CT,2020-02-13,6,,,,,,,,,,,,0,7,0,Cataluña,9
ES-EX,2020-02-13,0,,,,,,,,,,,,0,0,0,Extremadura,11
ES-GA,2020-02-13,0,,,,,,,,,,,,0,0,0,Galicia,12
ES-IB,2020-02-13,0,,,,,,,,,,,,0,0,0,Islas Baleares,4
ES-MC,2020-02-13,0,,,,,,,,,,,,0,1,0,Región de Murcia,14
ES-MD,2020-02-13,15,,,,,,,,,,,,0,8,0,Comunidad de Madrid,13
ES-ML,2020-02-13,0,,,,,,,,,,,,0,0,0,Melilla,19
ES-NC,2020-02-13,0,,,,,,,,,,,,0,0,0,Comunidad Foral de Navarra,15
ES-PV,2020-02-13,0,,,,,,,,,,,,0,0,0,País Vasco,16
ES-RI,2020-02-13,0,,,,,,,,,,,,0,1,0,La Rioja,17
ES-VC,2020-02-13,1,,,,,,,,,,,,1,1,1,Comunidad Valenciana,10
ES-AN,2020-02-14,1,,,,,,,,,,,,0,4,0,Andalucía,1
ES-AR,2020-02-14,0,,,,,,,,,,,,0,0,0,Aragón,2
ES-AS,2020-02-14,0,,,,,,,,,,,,0,0,0,Principado de Asturias,3
ES-CB,2020-02-14,0,,,,,,,,,,,,0,0,0,Cantabria,6
ES-CE,2020-02-14,0,,,,,,,,,,,,0,0,0,Ceuta,18
ES-CL,2020-02-14,1,,,,,,,,,,,,0,0,0,Castilla-León,7
ES-CM,2020-02-14,0,,,,,,,,,,,,0,0,0,Castilla-La Mancha,8
ES-CN,2020-02-14,1,,,,,,,,,,,,0,0,0,Canarias,5
ES-CT,2020-02-14,1,,,,,,,,,,,,0,2,0,Cataluña,9
ES-EX,2020-02-14,1,,,,,,,,,,,,0,0,0,Extremadura,11
ES-GA,2020-02-14,0,,,,,,,,,,,,0,1,0,Galicia,12
ES-IB,2020-02-14,1,,,,,,,,,,,,0,0,0,Islas Baleares,4
ES-MC,2020-02-14,0,,,,,,,,,,,,0,2,0,Región de Murcia,14
ES-MD,2020-02-14,10,,,,,,,,,,,,0,5,0,Comunidad de Madrid,13
ES-ML,2020-02-14,0,,,,,,,,,,,,0,0,0,Melilla,19
ES-NC,2020-02-14,0,,,,,,,,,,,,0,0,0,Comunidad Foral de Navarra,15
ES-PV,2020-02-14,0,,,,,,,,,,,,0,0,0,País Vasco,16
ES-RI,2020-02-14,0,,,,,,,,,,,,0,0,0,La Rioja,17
ES-VC,2020-02-14,2,,,,,,,,,,,,0,1,0,Comunidad Valenciana,10
