ccaa_iso,fecha,num_casos,lug_ocio,lug_mercado,lug_parque,lug_estacion,lug_trabajo,lug_residencial,dosis_administradas,porcentaje_dosis_administradas,personas_una_dosis,personas_pauta_completa,porcentaje_pauta_completa,Fallecidos,Hospitalizados,UCI,CCAA,cod_ine
ES-CN,2020-02-03,0,,,,,,,,,,,,0,0,0,Canarias,5
ES-CT,2020-02-03,1,,,,,,,,,,,,0,8,0,Cataluña,9
ES-EX,2020-02-03,0,,,,,,,,,,,,0,0,0,Extremadura,11
ES-GA,2020-02-03,1,,,,,,,,,,,,0,0,0,Galicia,12
ES-IB,2020-02-03,0,,,,,,,,,,,,0,0,0,Islas Baleares,4
ES-MC,2020-02-03,0,,,,,,,,,,,,0,0,0,Región de Murcia,14
ES-MD,2020-02-03,7,,,,,,,,,,,,0,4,0,Comunidad de Madrid,13
ES-ML,2020-02-03,0,,,,,,,,,,,,0,0,0,Melilla,19
ES-NC,2020-02-03,0,,,,,,,,,,,,0,0,0,Comunidad Foral de Navarra,15
ES-PV,2020-02-03,0,,,,,,,,,,,,0,1,0,País Vasco,16
ES-RI,2020-02-03,0,,,,,,,,,,,,0,0,0,La Rioja,17
ES-VC,2020-02-03,1,,,,,,,,,,,,0,1,0,Comunidad Valenciana,10
ES-AN,2020-02-04,0,,,,,,,,,,,,0,2,0,Andalucía,1
ES-AR,2020-02-04,0,,,,,,,,,,,,0,0,0,Aragón,2
ES-AS,2020-02-04,0,,,,,,,,,,,,0,0,0,Principado de Asturias,3
ES-CB,2020-02-04,0,,,,,,,,,,,,0,0,0,Cantabria,6
ES-CE,2020-02-04,0,,,,,,,,,,,,0,0,0,Ceuta,18
ES-CL,2020-02-04,1,,,,,,,,,,,,0,3,0,Castilla-León,7
ES-CM,2020-02-04,0,,,,,,,,,,,,0,0,0,Castilla-La Mancha,8
ES-CN,2020-02-04,1,,,,,,,,,,,,0,0,0,Canarias,5
ES-CT,2020-02-04,5,,,,,,,,,,,,0,3,0,Cataluña,9
ES-EX,2020-02-04,0,,,,,,,,,,,,0,0,0,Extremadura,11
ES-GA,2020-02-04,0,,,,,,,,,,,,0,0,0,Galicia,12
ES-IB,2020-02-04,0,,,,,,,,,,,,0,0,0,Islas Baleares,4
ES-MC,2020-02-04,0,,,,,,,,,,,,0,0,0,Región de Murcia,14
ES-MD,2020-02-04,2,,,,,,,,,,,,0,4,0,Comunidad de Madrid,13
ES-ML,2020-02-04,0,,,,,,,,,,,,0,0,0,Melilla,19
ES-NC,2020-02-04,0,,,,,,,,,,,,0,0,0,Comunidad Foral de Navarra,15
ES-PV,2020-02-04,0,,,,,,,,,,,,0,1,0,País Vasco,16
ES-RI,2020-02-04,0,,,,,,,,,,,,0,0,0,La Rioja,17
ES-VC,2020-02-04,0,,,,,,,,,,,,0,0,0,Comunidad Valenciana,10
ES-AN,2020-02-05,0,,,,,,,,,,,,0,1,0,Andalucía,1
ES-AR,2020-02-05,0,,,,,,,,,,,,0,0,0,Aragón,2
ES-AS,2020-02-05,0,,,,,,,,,,,,0,0,0,Principado de Asturias,3
ES-CB,2020-02-05,0,,,,,,,,,,,,0,0,0,Cantabria,6
ES-CE,2020-02-05,0,,,,,,,,,,,,0,0,0,Ceuta,18
ES-CL,2020-02-05,1,,,,,,,,,,,,0,1,0,Castilla-León,7
ES-CM,2020-02-05,0,,,,,,,,,,,,0,0,0,Castilla-La Mancha,8
ES-CN,2020-02-05,0,,,,,,,,,,,,0,0,0,Canarias,5
ES-CT,2020-02-05,1,,,,,,,,,,,,0,1,0,Cataluña,9
ES-EX,2020-02-05,0,,,,,,,,,,,,0,0,0,Extremadura,11
ES-GA,2020-02-05,0,,,,,,,,,,,,0,1,0,Galicia,12
ES-IB,2020-02-05,0,,,,,,,,,,,,0,0,0,Islas Baleares,4
ES-MC,2020-02-05,0,,,,,,,,,,,,0,0,0,Región de Murcia,14
ES-MD,2020-02-05,4,,,,,,,,,,,,0,4,1,Comunidad de Madrid,13
ES-ML,2020-02-05,0,,,,,,,,,,,,0,0,0,Melilla,19
ES-NC,2020-02-05,0,,,,,,,,,,,,0,0,0,Comunidad Foral de Navarra,15
ES-PV,2020-02-05,0,,,,,,,,,,,,0,0,0,País Vasco,16
ES-RI,2020-02-05,0,,,,,,,,,,,,0,0,0,La Rioja,17
ES-VC,2020-02-05,0,,,,,,,,,,,,0,0,0,Comunidad Valenciana,10
ES-AN,2020-02-06,2,,,,,,,,,,,,0,0,1,Andalucía,1
ES-AR,2020-02-06,0,,,,,,,,,,,,0,1,0,Aragón,2
ES-AS,2020-02-06,0,,,,,,,,,,,,0,0,0,Principado de Asturias,3
ES-CB,2020-02-06,0,,,,,,,,,,,,0,0,0,Cantabria,6
ES-CE,2020-02-06,0,,,,,,,,,,,,0,0,0,Ceuta,18
ES-CL,2020-02-06,0,,,,,,,,,,,,0,1,0,Castilla-León,7
ES-CM,2020-02-06,0,,,,,,,,,,,,0,0,0,Castilla-La Mancha,8
ES-CN,2020-02-06,0,,,,,,,,,,,,0,0,0,Canarias,5
ES-CT,2020-02-06,0,,,,,,,,,,,,0,7,0,Cataluña,9
ES-EX,2020-02-06,0,,,,,,,,,,,,0,0,0,Extremadura,11
ES-GA,2020-02-06,0,,,,,,,,,,,,0,1,0,Galicia,12
ES-IB,2020-02-06,0,,,,,,,,,,,,0,0,0,Islas Baleares,4
ES-MC,2020-02-06,0,,,,,,,,,,,,0,0,0,Región de Murcia,14
ES-MD,2020-02-06,5,,,,,,,,,,,,0,5,0,Comunidad de Madrid,13
ES-ML,2020-02-06,0,,,,,,,,,,,,0,0,0,Melilla,19
ES-NC,2020-02-06,0,,,,,,,,,,,,0,1,0,Comunidad Foral de Navarra,15
ES-PV,2020-02-06,0,,,,,,,,,,,,0,1,0,País Vasco,16
ES-RI,2020-02-06,0,,,,,,,,,,,,0,0,0,La Rioja,17
ES-VC,2020-02-06,2,,,,,,,,,,,,0,0,0,Comunidad Valenciana,10
ES-AN,2020-02-07,2,,,,,,,,,,,,0,2,0,Andalucía,1
ES-AR,2020-02-07,0,,,,,,,,,,,,0,0,0,Aragón,2
ES-AS,2020-02-07,0,,,,,,,,,,,,0,0,0,Principado de Asturias,3
ES-CB,2020-02-07,0,,,,,,,,,,,,0,0,0,Cantabria,6
ES-CE,2020-02-07,0,,,,,,,,,,,,0,0,0,Ceuta,18
ES-CL,2020-02-07,1,,,,,,,,,,,,0,1,0,Castilla-León,7
ES-CM,2020-02-07,0,,,,,,,,,,,,0,0,0,Castilla-La Mancha,8
ES-CN,2020-02-07,0,,,,,,,,,,,,0,0,0,Canarias,5
ES-CT,2020-02-07,3,,,,,,,,,,,,0,4,0,Cataluña,9
ES-EX,2020-02-07,0,,,,,,,,,,,,0,0,0,Extremadura,11
ES-GA,2020-02-07,0,,,,,,,,,,,,0,1,1,Galicia,12
ES-IB,2020-02-07,0,,,,,,,,,,,,0,0,0,Islas Baleares,4
ES-MC,2020-02-07,0,,,,,,,,,,,,0,0,0,Región de Murcia,14
ES-MD,2020-02-07,9,,,,,,,,,,,,0,5,1,Comunidad de Madrid,13
ES-ML,2020-02-07,0,,,,,,,,,,,,0,0,0,Melilla,19
ES-NC,2020-02-07,0,,,,,,,,,,,,0,1,0,Comunidad Foral de Navarra,15
ES-PV,2020-02-07,0,,,,,,,,,,,,0,3,1,País Vasco,16
ES-RI,2020-02-07,0,,,,,,,,,,,,0,0,0,La Rioja,17
ES-VC,2020-02-07,0,,,,,,,,,,,,0,2,0,Comunidad Valenciana,10
ES-AN,2020-02-08,0,,,,,,,,,,,,0,0,0,Andalucía,1
ES-AR,2020-02-08,0,,,,,,,,,,,,0,0,0,Aragón,2
ES-AS,2020-02-08,0,,,,,,,,,,,,0,0,0,Principado de Asturias,3
ES-CB,2020-02-08,0,,,,,,,,,,,,0,0,0,Cantabria,6
ES-CE,2020-02-08,0,,,,,,,,,,,,0,0,0,Ceuta,18
ES-CL,2020-02-08,0,,,,,,,,,,,,0,0,0,Castilla-León,7
ES-CM,2020-02-08,0,,,,,,,,,,,,0,0,0,Castilla-La Mancha,8
ES-CN,2020-02-08,0,,,,,,,,,,,,0,0,0,Canarias,5
ES-CT,2020-02-08,0,,,,,,,,,,,,0,2,0,Cataluña,9
ES-EX,2020-02-08,1,,,,,,,,,,,,0,0,0,Extremadura,11
ES-GA,2020-02-08,0,,,,,,,,,,,,0,0,0,Galicia,12
ES-IB,2020-02-08,0,,,,,,,,,,,,0,0,0,Islas Baleares,4
ES-MC,2020-02-08,0,,,,,,,,,,,,0,0,0,Región de Murcia,14
ES-MD,2020-02-08,8,,,,,,,,,,,,0,3,0,Comunidad de Madrid,13
ES-ML,2020-02-08,0,,,,,,,,,,,,0,0,0,Melilla,19
ES-NC,2020-02-08,0,,,,,,,,,,,,0,0,0,Comunidad Foral de Navarra,15
ES-PV,2020-02-08,0,,,,,,,,,,,,0,1,0,País Vasco,16
ES-RI,2020-02-08,0,,,,,,,,,,,,0,0,0,La Rioja,17
ES-VC,2020-02-08,0,,,,,,,,,,,,0,0,0,Comunidad Valenciana,10
ES-AN,2020-02-09,0,,,,,,,,,,,,0,1,0,Andalucía,1
ES-AR,2020-02-09,0,,,,,,,,,,,,0,0,0,Aragón,2
ES-AS,2020-02-09,0,,,,,,,,,,,,0,0,0,Principado de Asturias,3
ES-CB,2020-02-09,0,,,,,,,,,,,,0,0,0,Cantabria,6
ES-CE,2020-02-09,0,,,,,,,,,,,,0,0,0,Ceuta,18
ES-CL,2020-02-09,0,,,,,,,,,,,,0,0,0,Castilla-León,7
ES-CM,2020-02-09,0,,,,,,,,,,,,0,0,0,Castilla-La Mancha,8
ES-CN,2020-02-09,0,,,,,,,,,,,,0,0,0,Canarias,5
ES-CT,2020-02-09,1,,,,,,,,,,,,0,2,0,Cataluña,9
ES-EX,2020-02-09,0,,,,,,,,,,,,0,0,0,Extremadura,11
ES-GA,2020-02-09,0,,,,,,,,,,,,0,0,0,Galicia,12
ES-IB,2020-02-09,0,,,,,,,,,,,,0,1,0,Islas Baleares,4
ES-MC,2020-02-09,0,,,,,,,,,,,,0,0,0,Región de Murcia,14
ES-MD,2020-02-09,2,,,,,,,,,,,,0,3,0,Comunidad de Madrid,13
ES-ML,2020-02-09,0,,,,,,,,,,,,0,0,0,Melilla,19
ES-NC,2020-02-09,0,,,,,,,,,,,,0,0,0,Comunidad Foral de Navarra,15
ES-PV,2020-02-09,0,,,,,,,,,,,,0,0,0,País Vasco,16
ES-RI,2020-02-09,0,,,,,,,,,,,,0,0,0,La Rioja,17
ES-VC,2020-02-09,0,,,,,,,,,,,,0,0,0,Comunidad Valenciana,10
ES-AN,2020-02-10,1,,,,,,,,,,,,0,1,0,Andalucía,1
ES-AR,2020-02-10,0,,,,,,,,,,,,0,1,0,Aragón,2
ES-AS,2020-02-10,0,,,,,,,,,,,,0,1,0,Principado de Asturias,3
ES-CB,2020-02-10,0,,,,,,,,,,,,0,0,0,Cantabria,6
ES-CE,2020-02-10,0,,,,,,,,,,,,0,0,0,Ceuta,18
ES-CL,2020-02-10,1,,,,,,,,,,,,0,1,0,Castilla-León,7
ES-CM,2020-02-10,0,,,,,,,,,,,,0,0,0,Castilla-La Mancha,8
ES-CN,2020-02-10,0,,,,,,,,,,,,0,0,0,Canarias,5
ES-CT,2020-02-10,4,,,,,,,,,,,,0,5,0,Cataluña,9
ES-EX,2020-02-10,0,,,,,,,,,,,,0,0,0,Extremadura,11
ES-GA,2020-02-10,0,,,,,,,,,,,,0,0,0,Galicia,12
ES-IB,2020-02-10,2,,,,,,,,,,,,0,0,0,Islas Baleares,4
ES-MC,2020-02-10,0,,,,,,,,,,,,0,0,0,Región de Murcia,14
ES-MD,2020-02-10,11,,,,,,,,,,,,0,6,1,Comunidad de Madrid,13
ES-ML,2020-02-10,0,,,,,,,,,,,,0,0,0,Melilla,19
ES-NC,2020-02-10,1,,,,,,,,,,,,0,0,0,Comunidad Foral de Navarra,15
ES-PV,2020-02-10,0,,,,,,,,,,,,0,0,0,País Vasco,16
ES-RI,2020-02-10,0,,,,,,,,,,,,0,0,0,La Rioja,17
ES-VC,2020-02-10,1,,,,,,,,,,,,0,0,0,Comunidad Valenciana,10
ES-AN,2020-02-11,0,,,,,,,,,,,,0,2,0,Andalucía,1
ES-AR,2020-02-11,1,,,,,,,,,,,,0,0,0,Aragón,2
ES-AS,2020-02-11,0,,,,,,,,,,,,0,0,0,Principado de Asturias,3
ES-CB,2020-02-11,0,,,,,,,,,,,,0,0,0,Cantabria,6
ES-CE,2020-02-11,0,,,,,,,,,,,,0,0,0,Ceuta,18
ES-CL,2020-02-11,1,,,,,,,,,,,,0,0,0,Castilla-León,7
ES-CM,2020-02-11,0,,,,,,,,,,,,0,0,0,Castilla-La Mancha,8
ES-CN,2020-02-11,0,,,,,,,,,,,,0,0,0,Canarias,5
ES-CT,2020-02-11,3,,,,,,,,,,,,0,8,0,Cataluña,9
ES-EX,2020-02-11,0,,,,,,,,,,,,0,0,0,Extremadura,11
ES-GA,2020-02-11,0,,,,,,,,,,,,0,0,0,Galicia,12
ES-IB,2020-02-11,0,,,,,,,,,,,,0,0,0,Islas Baleares,4
ES-MC,2020-02-11,0,,,,,,,,,,,,0,1,0,Región de Murcia,14
